seq_no.,module,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_string,motif_list
196,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
197,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
198,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
199,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
200,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
201,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
202,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
203,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
204,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
205,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
206,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
207,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
208,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
209,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
210,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
211,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
212,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
213,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
214,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
215,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
216,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
217,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
218,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
219,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
220,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
221,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
222,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
223,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
224,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
225,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
226,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
227,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
228,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
229,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
230,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
231,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
232,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
233,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
234,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
235,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
236,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
237,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
238,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
239,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
240,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
241,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
242,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
243,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
244,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
245,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
246,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
247,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
248,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
249,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
250,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
251,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
252,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
253,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
254,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
255,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
256,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
257,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
258,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
259,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
260,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
261,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
262,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
263,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
264,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
265,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
266,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
267,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
268,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
269,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
270,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
271,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
272,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
273,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
274,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
275,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
276,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
277,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
278,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
279,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
280,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
281,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
282,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
283,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
284,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
285,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
286,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
287,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
288,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
289,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
290,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
291,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
292,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
293,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
294,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
295,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
296,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
297,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
298,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
299,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
300,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
301,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
302,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
303,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
304,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
305,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
306,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
307,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
308,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
309,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
310,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
311,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
312,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
313,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
314,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
315,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
316,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
317,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
318,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
319,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
320,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
